2021-10-11 21:43:12.512 +06:00 [INF] Application Starting up
2021-10-11 21:43:16.127 +06:00 [INF] no file to delete
2021-10-11 21:43:16.129 +06:00 [INF] Worker running at: "2021-10-11T21:43:16.1289168+06:00"
2021-10-11 21:43:46.165 +06:00 [INF] no file to delete
2021-10-11 21:43:46.165 +06:00 [INF] Worker running at: "2021-10-11T21:43:46.1656286+06:00"
2021-10-11 21:44:16.187 +06:00 [INF] no file to delete
2021-10-11 21:44:16.187 +06:00 [INF] Worker running at: "2021-10-11T21:44:16.1878716+06:00"
2021-10-11 21:44:46.201 +06:00 [INF] no file to delete
2021-10-11 21:44:46.202 +06:00 [INF] Worker running at: "2021-10-11T21:44:46.2020747+06:00"
2021-10-11 21:45:16.212 +06:00 [INF] no file to delete
2021-10-11 21:45:16.212 +06:00 [INF] Worker running at: "2021-10-11T21:45:16.2128532+06:00"
2021-10-11 21:45:46.233 +06:00 [INF] no file to delete
2021-10-11 21:45:46.233 +06:00 [INF] Worker running at: "2021-10-11T21:45:46.2331895+06:00"
2021-10-11 21:46:16.241 +06:00 [INF] no file to delete
2021-10-11 21:46:16.241 +06:00 [INF] Worker running at: "2021-10-11T21:46:16.2418451+06:00"
2021-10-11 21:46:46.271 +06:00 [INF] no file to delete
2021-10-11 21:46:46.271 +06:00 [INF] Worker running at: "2021-10-11T21:46:46.2715952+06:00"
2021-10-11 21:47:16.279 +06:00 [INF] no file to delete
2021-10-11 21:47:16.279 +06:00 [INF] Worker running at: "2021-10-11T21:47:16.2797024+06:00"
2021-10-11 21:47:46.290 +06:00 [INF] no file to delete
2021-10-11 21:47:46.290 +06:00 [INF] Worker running at: "2021-10-11T21:47:46.2907611+06:00"
2021-10-11 21:48:16.311 +06:00 [INF] no file to delete
2021-10-11 21:48:16.311 +06:00 [INF] Worker running at: "2021-10-11T21:48:16.3114511+06:00"
2021-10-11 21:48:46.319 +06:00 [INF] no file to delete
2021-10-11 21:48:46.319 +06:00 [INF] Worker running at: "2021-10-11T21:48:46.3194857+06:00"
2021-10-11 21:49:16.339 +06:00 [INF] no file to delete
2021-10-11 21:49:16.339 +06:00 [INF] Worker running at: "2021-10-11T21:49:16.3395713+06:00"
2021-10-11 21:49:46.347 +06:00 [INF] no file to delete
2021-10-11 21:49:46.347 +06:00 [INF] Worker running at: "2021-10-11T21:49:46.3479655+06:00"
2021-10-11 21:50:16.356 +06:00 [INF] no file to delete
2021-10-11 21:50:16.357 +06:00 [INF] Worker running at: "2021-10-11T21:50:16.3563733+06:00"
2021-10-11 21:50:46.369 +06:00 [INF] no file to delete
2021-10-11 21:50:46.369 +06:00 [INF] Worker running at: "2021-10-11T21:50:46.3697404+06:00"
2021-10-11 21:51:16.382 +06:00 [INF] no file to delete
2021-10-11 21:51:16.384 +06:00 [INF] Worker running at: "2021-10-11T21:51:16.3841207+06:00"
2021-10-11 21:51:46.402 +06:00 [INF] no file to delete
